,Name,Method,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,CD,CL,A_constr,GF_score,Constr_viol
0,baseline,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120098653679061,0.6953152880903491,-0.02016986432133333,-0.6230394840240479,0.0
1,dv_min,,0.002571875,0.008745320000000001,0.01662835,0.024706375000000003,0.03167565,0.036291575,0.037466849999999996,0.03513265,0.029343050000000002,0.010364600000000002,-0.029343050000000002,-0.03513265,-0.037466849999999996,-0.036291575,-0.03167565,-0.024706375000000003,-0.01662835,-0.008745320000000001,0.010321091436478,0.6421382794767257,0.030254796482000003,-0.6081093549728394,0.030254796482000003
2,dv_max,,-0.002571875,-0.008745320000000001,-0.01662835,-0.024706375000000003,-0.03167565,-0.036291575,-0.037466849999999996,-0.03513265,-0.029343050000000002,-0.010364600000000002,0.029343050000000002,0.03513265,0.037466849999999996,0.036291575,0.03167565,0.024706375000000003,0.01662835,0.008745320000000001,0.0300912950700886,0.3978048863263687,-0.07059452512466667,-0.6545933485031128,0.10219511367363132
3,G1S1,lhs,-0.000458,0.004465,0.014428,0.007445,0.014362,-0.008252,0.028864,0.010707,-0.013637,0.005371,-0.025075,0.027597,0.001019,-0.018518,0.022066,-0.022734,0.005909,-0.007629,0.0492326360053235,0.325631738574124,-0.011189717654666684,,0.17436826142587603
4,G1S2,lhs,-5.4e-05,0.007679,-0.005753,-0.024032,-0.013946,-0.015511,-0.024177,-0.003526,0.013635,-0.008394,-0.000557,-0.00244,-0.006514,0.030318,0.002241,0.004787,0.013695,0.006791,0.045149032969686,0.1795243006130745,-0.03379706432133335,,0.3204756993869255
5,G1S3,lhs,8.1e-05,-0.007824,0.00782,0.019641,-0.017708,0.025081,0.02252,-0.033244,-0.027442,0.001995,-0.00442,-0.005142,0.003017,-0.012248,-0.009601,-0.019841,0.002044,0.001688,0.0333626043838094,0.5194142475363511,-0.016226103654666715,,0.0
6,G1S4,lhs,0.002538,0.006644,0.00028,-0.003267,0.028357,-0.02385,-0.035436,-0.020408,0.009538,-0.006591,-0.012074,0.010471,-0.026041,0.028374,-0.020803,-0.016734,-0.000869,-0.006061,0.062360356735444,0.061708290441750524,-0.019998188321333335,,0.4382917095582495
7,G1S5,lhs,-0.002497,-0.004382,-0.014438,0.004186,-0.016529,0.001162,-0.023281,0.018706,0.026556,-0.001424,0.008736,-0.007271,-0.014022,-0.004388,0.01355,0.015553,-0.000439,0.000315,0.034238254338348,0.393021220374998,-0.022839080988,,0.10697877962500202
8,G1S6,lhs,0.001955,0.006321,0.006136,-0.007689,-0.022979,0.035195,-0.032817,0.009619,0.004108,-0.004985,-0.028308,-0.004108,0.016778,0.027463,0.012562,-0.010836,-0.01277,0.008007,0.0561439339081441,0.0897112794504063,-0.02172006965466665,,0.4102887205495937
9,G1S7,lhs,-0.000243,0.001838,-0.003155,-0.011662,-0.016291,-0.016117,-0.033429,0.014764,0.007528,-0.009703,0.015838,0.01498,-0.027593,0.02109,0.027974,0.000534,-0.009399,-0.004101,0.0614720510407865,0.12765602056382463,-0.031948151654666676,,0.37234397943617537
10,G1S8,lhs,-0.000889,0.003893,-0.000912,-0.023112,0.009705,-0.021393,0.016014,0.011297,-0.018044,0.000273,-0.00498,0.013926,0.020673,-0.024221,0.015401,0.009715,0.001835,-0.007224,0.0440728728172895,0.24704466715810014,-0.025546484987999996,,0.25295533284189986
